api_url,why_category,why_category_expl
https://api.github.com/repos/junit-team/junit4/commits/3171c4b29cb207e71fc2f752f0fbcb235bc8e784,Describe Objective,"The commit message explains the objective of the change: relicensing JUnit from CPL to EPL. This is done to make re-licensing possible without seeking the approval of all contributors. The change is made because CPL is actively hurting JUnit adaptation in certain cases, and EPL would have been fine in those cases."
https://api.github.com/repos/spring-projects/spring-boot/commits/6c8f8c9d827a5340f9e6493c14d8c252d1f0d52a,Describe Issue,"The commit message describes the issue of failing to instantiate a custom EmbeddedServletContainerFactory subclass when a custom management.port is used. This issue is directly elaborated in the message, making it a 'Describe Issue' category."
https://api.github.com/repos/spring-projects/spring-boot/commits/6dc14af92dbfa7b5281072d9fdde241ce0da3679,Describe Issue,"The commit message directly elaborates the motivation of the code change by describing the issue scenario: when a bean is overridden and its type changes, the BeanTypeRegistry could be left with a stale view of the bean's type, leading to incorrect bean condition evaluation. This situation is clearly described in the message, making it a suitable example of the 'Describe Issue' category."
https://api.github.com/repos/square/okhttp/commits/868ee844458eda9ee7b1b6f9a5238b7c3f84c0e4,Describe Issue,"The commit message directly elaborates the motivation of the code change by mentioning the issue of dropping a remaining DSS cipher suite. This is done to align with Chrome and Firefox, which have also dropped this cipher suite. The message refers to a specific error scenario (the remaining DSS cipher suite) and mentions the issue report (the issue link)."
https://api.github.com/repos/spring-projects/spring-boot/commits/e233ea7f546fcbc5fccf972bc70c26373103444c,Describe Issue,"The commit message directly elaborates the motivation of the code change by describing the issue scenario: Undertow 1.3.2 changed the default access log file suffix from '.log' to just 'log', which caused a problem in the current implementation. The commit message also mentions that the change is necessary to adapt the file name pattern to include the missing dot."
https://api.github.com/repos/spring-projects/spring-boot/commits/247c596f8ceb657800e86d0ca59d4816aa67026b,Describe Issue,"The commit message refers to a duplicate console appender in the logback configuration, which is an issue that needs to be resolved. The message also mentions closing an issue, which further supports the necessity of the change."
https://api.github.com/repos/junit-team/junit4/commits/591fcae09c6470a03ade7d608773f8f633409bc2,Describe Objective,"The commit message directly mentions the improvements it makes to the code. It adds more Javadoc to Assert for messages and when they are displayed, and it puts the version tag back into Version. This shows that the commit is fixing or improving the code."
https://api.github.com/repos/junit-team/junit4/commits/870289f3272917f312de6902b8b6bdc43552d4b7,Describe Issue,The commit message 'Simplify Filter implementation for backward compatibility' implies that there is an issue with the previous implementation of the Filter that is causing problems with backward compatibility. The code diff shows that the Filter implementation has been changed to improve backward compatibility.
https://api.github.com/repos/square/retrofit/commits/c0cc4cb5bbf688a11dda5531f009300b20005e61,Describe Issue,"The commit message refers to an 'important Android fix' in RxJava 1.0.14. This implies that there was an issue with the previous version (1.0.13) that has been resolved in the new version (1.0.14). The message also mentions that the change is made 'just in case someone is relying on the transitive dependency', which further emphasizes the necessity of the change due to a potential issue."
https://api.github.com/repos/apache/dubbo/commits/e8d85386bc7869d3a6e5b27c12ec7784c74bc2d6,Describe Issue,"The commit message mentions 'Format code' which implies that the code change is to improve the readability and consistency of the code. The diff shows that the changes are related to variable declarations, where some variables are changed from being non-final to final. This could be done to improve the code's maintainability and performance, as final variables in Java are more efficient and thread-safe. However, the exact reason for this change is not explicitly stated in the commit message, so it falls under the 'Describe Issue' category as it does not directly elaborate the motivation of the code change."
https://api.github.com/repos/square/okhttp/commits/6cf56de5d0701ff26aa6043c552e17c4665c1287,Describe Issue,"The commit message directly elaborates the motivation of the code change by describing the issue scenario. It mentions that the change is required to handle a specific Android scenario where an older version of OkHttp bundled with an application may pick up the newer HttpResponseCache and attempt to use the get() / put() methods, which could throw an UnsupportedOperationException. The commit message also explains that the previous fix to HttpResponseCache re-introduced get()/put() but didn't implement the necessary instanceof checks, which caused the issue."
https://api.github.com/repos/square/okhttp/commits/137e7de0454f10160370f105ac7d9d2fc5403c84,Describe Objective,"The commit message directly mentions the improvements it makes to the code. It describes the changes made to the method names, from 'issuedBy' to 'signedBy', and the addition of a new API method, 'addPlatformTrustedCertificates'. This indicates that the commit is intended to improve the codebase."
https://api.github.com/repos/spring-projects/spring-boot/commits/4d172ca7429bfc15692ce7f1247beeb355faa924,Describe Issue,"The commit message explains the issue it is addressing: the duplicate resources in the classpath. This is causing logback to worry about double configuration, and it is resolved by deleting the duplicate resources from the target directory."
https://api.github.com/repos/spring-projects/spring-boot/commits/b39ecdf0060189367e396f0dcc455760006f2659,Describe Issue,"The commit message directly elaborates the motivation of the code change by describing the issue scenario. It mentions that 'preferred-mapper' has been renamed to 'preferred-json-mapper' to make it clear that it only affects the JSON mapper, not the XML mapper. This is done to address the confusion caused by the previous naming, which could imply that it affects both mappers."
https://api.github.com/repos/square/retrofit/commits/ebc0128add0d416a846ff661888910d16751dd34,Illustrate Requirement,"The commit message explains the source of the requirement, which is the need to discourage the use of Java 8 in the project. This is because Java 8 support is now built-in to Retrofit and works without configuration, making the Java 8 adapter and converter obsolete."
https://api.github.com/repos/spring-projects/spring-boot/commits/f8a53cf775b03c9258b42be194e05e0ee1779f35,Describe Issue,"The commit message refers to an issue (the new role-based method) that necessitated an update to the documentation. The diff shows changes to the documentation that align with the new method, which suggests that the update is intended to address a problem or shortcoming in the previous implementation."
https://api.github.com/repos/junit-team/junit4/commits/fa35d6d84a0b2c59254cb479633d0e20bc6e12e9,Ilustrate Requirement,"The commit message explicitly states the reason for the change, which is the switch from CVS to Git. This is a requirement change in the development environment, which falls under the 'Ilustrate Requirement' category."
https://api.github.com/repos/spring-projects/spring-boot/commits/ee4205a0498440f3003ace8c5ccf36cbe74eab00,Describe Issue,"The commit message refers to the unnecessary logging by the start-docker script, which is an issue that the change aims to address. The code diff shows that the logging is being removed, which is a direct change to improve the code."
https://api.github.com/repos/apache/dubbo/commits/9897aa3d7273e3eb96910cfdc09709a77cae50b0,Describe Issue,"The commit message explicitly mentions the issue that the appConfigs cache can't work properly when users don't explicitly add an id, which is a clear explanation of the motivation for the code change."
https://api.github.com/repos/junit-team/junit4/commits/2b6fa701e84625c511b03079296774cc0904ef1a,Describe Issue,The commit message directly elaborates the motivation of the code change by describing the issue that the ParentRunner was losing the test Class from a separate class loader. This is a clear and direct explanation of why the commit makes the changes it does.
https://api.github.com/repos/square/okhttp/commits/0685dfaa7ff71a8f16b1b71f417b08eff13ec55f,Describe Requirement,The commit message explains the requirement for the code change by mentioning that the project no longer connects to TLSv1.0 or TLSv1.1 servers out-of-the-box and that it is necessary to enable COMPATIBLE_TLS in the OkHttpClient configuration. This is due to the scheduled removal of these TLS versions by some browsers in March 2020. The code diff also supports this explanation by modifying the enabled TLS versions in the configuration.
https://api.github.com/repos/square/retrofit/commits/2d6b02f7cf59235358ef4d574930ce7545ce8619,Describe Requirement,"The commit message refers to the need to update the RxJava version from 1.0.0-rc.4 to 1.0.0. This could be due to a requirement for the latest stable version of RxJava, which might have been released to fix bugs or add new features."
https://api.github.com/repos/square/okhttp/commits/6651a9c15e06e8d1829aa00f970998be2f33b225,Describe Issue,"The commit message describes the issue of the current implementation throwing unchecked exceptions on unexpected charsets, which can cause a misbehaving webserver to crash the client. The commit changes the failure mode to not crash on charset problems, which addresses this issue."
https://api.github.com/repos/spring-projects/spring-boot/commits/3d27391d47910f73c1e889b76030a53038a38f25,Describe Issue,"The commit message refers to the issue of compatibility with JDK 15, which introduces an isEmpty() method on CharSequence that clashes with the one declared in StringSequence. This is a clear description of the problem and the motivation for the code change."
https://api.github.com/repos/square/okhttp/commits/c6c7ce7dadf2ccaa04122f57a278a4a96d1f5c50,Describe Issue,"The commit message directly elaborates the motivation of the code change by describing the bug it fixes. The bug is that when using DiskLruCache, the hasNext() method of Iterator<Snapshot> returned by snapshot() method iterates through lruEntries, and if an entry is not completed yet, it is removed. This caused sometimes file not being cached at all. The commit message provides a clear explanation of this issue and how it affects the functionality of the DiskLruCache."
https://api.github.com/repos/spring-projects/spring-boot/commits/3a8a1272855a82c1d454920b423c49ced826428a,,"Error: 400 - {""object"":""error"",""message"":""Prompt contains 51476 tokens, too large for model with 32768 maximum context length"",""type"":""invalid_request_error"",""param"":null,""code"":null}"
https://api.github.com/repos/spring-projects/spring-boot/commits/c4f756daee43f89e0ba832ceac17bac216fc899b,Describe Issue,"The commit message directly elaborates the motivation of the code change by describing the issue scenario. It mentions that there was a problem with the MavenSettings handling of profiles activated by a file, which resulted in an NPE and hampered diagnosis of the problem. This issue is directly related to the code change made in the commit."
https://api.github.com/repos/spring-projects/spring-boot/commits/32b32b714275d0efaa1f5afba10e88e09101f224,Describe Issue,The commit message describes the issue of users being confused when they follow the logback documentation and specify the `logback.configurationFile` system property. The code change is made to address this issue by logging a warning when this specific property is found.
https://api.github.com/repos/spring-projects/spring-boot/commits/e5a253e68951dcf975b9844b3b39afac2222b503,Describe Issue,"The commit message directly elaborates the motivation of the code change by describing the issue scenario. It mentions that when '@ConditionalOnBean' or '@ConditionalOnMissingBean' are used on a '@bean' method, they may fail to deduce the bean's type. The commit message provides examples of possible failure causes and explains that previously, this failure was only logged as a debug message, leaving the user with a misleading message. The commit improves the diagnostics by mentioning the possibility of type deduction in the exception message and including the exception that caused deduction to fail as the cause. This shows that the change is necessary to address a problem in the existing implementation."
https://api.github.com/repos/junit-team/junit4/commits/3189af007b26d74ca459f823d57ef77b9c1697b8,Describe Issue,The commit message 'Remove redundant field fCause' indicates that the field was no longer necessary because the functionality it provided was already available through the 'initCause' method. This implies that there was an issue with the previous implementation where the field was redundant and unnecessary.
https://api.github.com/repos/square/okhttp/commits/30ecba897fb624df201f0a014b54a604418a0e73,,
https://api.github.com/repos/junit-team/junit4/commits/435d41f0d45cfdbc1a38e1ad4eb1d5300da533f9,Describe Issue,"The commit message directly elaborates the motivation of the code change by describing the issue that the build on Travis started failing due to Maven Central discontinuing HTTP support. This issue is directly related to the code change, which is using an HTTPS mirror of Maven Central to ensure the build on Travis will work again."
https://api.github.com/repos/apache/dubbo/commits/6764744115bffdcd7cde85112611dade6002fe5c,Describe Objective,"The commit message 'update version to 2.1.6' directly mentions the change made to the code, which is updating the version of the project from 2.2.0-SNAPSHOT to 2.1.6. This could be due to the release of a new stable version, or it could be a downgrade to a previous stable version due to issues found in the latest snapshot version."
https://api.github.com/repos/square/okhttp/commits/15940665526348d815b26d509ce44c79926c612b,Describe Issue,The commit message directly elaborates the motivation of the code change by describing the issue it fixes: the HttpURLConnection CloseGuard warning due to the lack of close on GZIPInputStream. This is a clear reference to a problem scenario that necessitates the change.
https://api.github.com/repos/junit-team/junit4/commits/18b23a7ed22080e7412e24060c66cef7fc3b1b93,Describe Issue,"The commit message refers to an issue (the incorrect link to the 4.12 release notes) and directly elaborates the motivation of the code change, which is to correct the error in the link."
https://api.github.com/repos/spring-projects/spring-boot/commits/c3e447c84c8a3d46ef300184787d3c6be8b792fc,Describe Issue,"The commit message directly elaborates the motivation of the code change by describing the issue scenario: 'For the character encoding filter to work, it's vital that it sets the request's encoding before any other filters attempt to read the request.' This issue is then addressed in the code diff by updating the order of OrderedCharacterEncodingFilter to be HIGHEST_PRECEDENCE."
https://api.github.com/repos/square/okhttp/commits/18f2b5e6e69de28f420298862378abfd243096ce,Describe Issue,The commit message directly elaborates the motivation of the code change by describing the problem with boolean vals needing to be reverted back to boolean funs and single abstract method types (SAM types) not being compatible when calling into Kotlin. This is a clear indication of a necessary change to fix existing source patterns.
https://api.github.com/repos/square/okhttp/commits/7a3bb19ea44f6771a20d3f5c323cc8bd15d73a56,Describe Issue,"The commit message directly elaborates the motivation of a code change by describing the issue scenario. It mentions that on Android, the OkHttp tests are run as an instrumented test case, and the default UncaughtExceptionHandler will quit the app, causing the current test to fail. The MockSpdyPeer creates a thread that fails for reasons not related to the actual test, often causing exceptions to be thrown during subsequent tests. The commit message explains that this change logs the exception but prevents it from propagating out of the top of the call stack to decrease overall flakiness."
https://api.github.com/repos/apache/dubbo/commits/203078981bb23517703e7bbb60925b8542bc8983,Describe Issue,"The commit message directly elaborates the motivation of the code change by describing the issue with the testStatusChecker, stating that it is unstable and should be ignored for now, with a reference to an issue report."
https://api.github.com/repos/square/okhttp/commits/29ab48bf0dfbac1b249f2233de08fa948bad11d8,Describe Issue,"The commit message directly elaborates the motivation of the code change by describing the issue of a race condition in the Connection.isExpired() method, which was causing some SPDY connections to be evicted early and preventing connection reuse. This issue is explicitly mentioned and explained in the commit message."
https://api.github.com/repos/junit-team/junit4/commits/1254795902e56eb545e1fe696827924bc5e82b66,Describe Issue,"The commit message refers to the issue of race conditions that could occur if the ThreadGroup was referenced by other threads after it was destroyed. This is the motivation for the code change, which marks the ThreadGroup created by FailOnTimeout as a daemon group."
https://api.github.com/repos/junit-team/junit4/commits/1ef449139923a22333f262dc8c75fa057903040c,Describe Issue,"The commit message directly elaborates the motivation of the code change by describing the issue that the running time of the statement was too short, causing the future to be called before the statement was finished. This is a clear description of the error scenario, making it fall under the 'Describe Issue' category."
https://api.github.com/repos/square/okhttp/commits/2594c6c695f2898bba947ea86a7aaac8dcfd4dc4,Describe Issue,"The commit message directly elaborates the motivation of the code change by describing the issue: 'Don't call callEnd() twice when application interceptors proceed twice.' This issue is likely caused by the current implementation, and the commit aims to fix it."
https://api.github.com/repos/square/okhttp/commits/1ab086360755fcb13356617fe6d738171889d810,Describe Issue,The commit message directly elaborates the motivation of the code change by describing the issue scenario - interceptors throwing unchecked exceptions without releasing resources or notifying the callback. This is a clear and direct explanation of why the test is being added.
https://api.github.com/repos/square/retrofit/commits/863030b551bc2e3447c5dde55d6bcc312218de6f,Describe Issue,"The commit message refers to the need to add documentation about null responses in the code. This is done to address the issue of missing documentation for null responses, which could lead to confusion or errors when using the code."
https://api.github.com/repos/spring-projects/spring-boot/commits/296dc7132b8e444df0e6173740fa6bba5a5f1bd1,Describe Objective,The commit message directly mentions the improvement made to the code: allowing JSON Testers to be `@Autowired`. This change enhances the functionality and usability of JSON Testers in the codebase.
https://api.github.com/repos/spring-projects/spring-boot/commits/12724bf33211d68899d710fda376bd5636731e4c,Describe Issue,The commit message explains the issue with the current implementation where the order of keys in PropertySourcesPropertyValues is not preserved. This is fixed by changing the Map implementation from ConcurrentHashMap to LinkedHashMap.
https://api.github.com/repos/spring-projects/spring-boot/commits/1de2316a0b4c2d5896c34b954208a4c550466f22,Describe Objective,"The commit message directly mentions the improvements it makes to the code, such as ensuring that a primary JSR 303 and Spring Validator will be exposed if the auto-configuration kicks in, and restoring and adding tests that validate the behavior of the ValidationAutoConfiguration."
https://api.github.com/repos/spring-projects/spring-boot/commits/05e6af23cf2e60d5c61388fbb954bd56f00b9f94,Describe Issue,The commit message directly elaborates the motivation of the code change by describing the issue scenario: it was incorrect to simply replace existing instances because you can't tell from the instance which media types and java types it supports. This fix just prepends the custom converters so they get higher priority.
https://api.github.com/repos/square/retrofit/commits/238a9e59e69d61479a4505dba5f5659a599c699f,Describe Issue,"The commit message describes an issue with the current implementation where the '@QueryMap' with 'encoded=true' is not performing the default URL encoding as expected. This is causing an error in the output, which the commit message explains by providing an example."
https://api.github.com/repos/square/retrofit/commits/f4ee9e28a6380662ea0ab8a9a02adbd021ef55e8,Describe Issue,"The commit message mentions the need to add more tests for RxJava Single type support due to the presence of Single.toBlocking() in RxJava 1.0.16 version. This indicates that there was an issue with the existing tests not covering the new functionality, which is the reason for the code change."
https://api.github.com/repos/spring-projects/spring-boot/commits/09200361defde95ec48bd9169ab5db7590c9440b,Describe Issue,"The commit message describes the issue of various JMX configurations creating an MBeanServer differently, which leads to user seeing no MBeans or just one set. The commit fixes this issue by creating a shared @bean of type MBeanServer and linking to it in the other autoconfigs."
https://api.github.com/repos/spring-projects/spring-boot/commits/2516dc033f909281702dfd2f99e8d0f05d59af8b,Describe Issue,The commit message directly elaborates the motivation of a code change by describing the error scenario ('the nested private static class would cause an error at startup') and mentioning the issue it fixes ('the property from the environment could not be bound due to accessibility'). The solution provided in the commit message (changing the nested class from private to public) directly addresses this issue.
https://api.github.com/repos/apache/dubbo/commits/fa157deadf65d00c9884d611430ec78e585840ff,,
https://api.github.com/repos/apache/dubbo/commits/f9f10ba5225e80c34953f56123ac1702c13e45c7,Describe Issue,"The commit message describes the issue of the provider token check failing, making it difficult for the consumer to locate the failure. The code change is made to address this issue by printing out the token value in the exception information."
https://api.github.com/repos/square/okhttp/commits/bffee2336725dde0f74933d5a7d12536c9bcbd06,Describe Objective,The commit message directly mentions the improvements it makes to the code by introducing intermediate storage for frame contents. This change is made to eliminate the need to always send a frame for every FrameSink#write and to always send an empty frame for FrameSink#close. This improves efficiency and reduces unnecessary data transmission.
https://api.github.com/repos/square/okhttp/commits/ba5d3e278b027ee7a2cb741a1bec3646f9d11e16,Describe Requirement,"The commit message mentions the need to migrate from Travis to GitHub Action for publishing. This is likely due to a requirement or problem in the process of software maintenance, such as the deprecation of Travis or the need for a more modern and feature-rich CI/CD solution."
https://api.github.com/repos/square/okhttp/commits/fd509b937c4a5438fe02ddf06ade5ad56736af5d,Describe Issue,The commit message refers to an issue with JavaNetCookieJar's behavior when handling cookies with domain patterns that start with a dot. This is a known issue that the new tests are added to address.
https://api.github.com/repos/junit-team/junit4/commits/078e45bd31a9920e00633ad6ce658e22529304f2,Ilustrate Requirement,"The commit message mentions the need for compatibility with older versions of JUnit, which suggests that the code change is being made to accommodate a requirement or problem related to the software development environment."
https://api.github.com/repos/square/retrofit/commits/00d3f9070e15e514430e5dbb2aec602547c3c92d,Describe Objective,"The commit message directly mentions the improvements it makes to the code. It adds `getTag()` and `logChunk()` methods to make subclassing easier. This is done to improve the existing codebase, making it more flexible and easier to extend."
https://api.github.com/repos/square/okhttp/commits/18f3564a4f2b17c3067e7f02337e3909ba5cb3ba,Describe Issue,"The commit message refers to the issue of javadoc errors that were preventing the successful deployment of the snapshot. By temporarily ignoring javadoc errors and compiling tests but not running them, the commit addresses the issue and allows for the successful deployment of the snapshot."
https://api.github.com/repos/apache/dubbo/commits/793bf8244411c33b675e08f1499122bc82654d44,Describe Issue,The commit message directly mentions an issue (<issue_link>) that is being solved by the code change. The defensive check added to the code is to prevent a NullPointerException that could occur if the getService() or getMeta() methods return null.
https://api.github.com/repos/square/okhttp/commits/c8638813ff5f90715417e489b342aae5e410c5b2,Describe Issue,The commit message directly elaborates the motivation of a code change by referring to a bug in the release plugin that the code change is intended to work around. This falls under the 'Describe Issue' category.
https://api.github.com/repos/junit-team/junit4/commits/610b38e6c9753ab01b8aef093d2fcaeabe3a7a32,Describe Issue,The commit message refers to the issue of tests not showing the stack trace of the test thread when they timeout. This is a clear description of a problem scenario that necessitates a code change.
https://api.github.com/repos/square/okhttp/commits/0665b628fafec38271d7a66421ae04c7fd35dd29,Describe Issue,"The commit message directly elaborates the motivation of the code change by describing the issue it fixes: 'Add support for following HTTP 307 temporary redirects. Fixes Android bug 41739.' This indicates that there was a bug in the previous implementation that did not handle HTTP 307 temporary redirects, and the commit message provides a reference to the bug report."
https://api.github.com/repos/square/okhttp/commits/59e68cd2bcba789e7faca70f8910afd2edeed2be,Describe Objective,"The commit message describes the objective of the changes, which is to introduce a new component called 'Exchange'. This is done to split the StreamAllocation into three parts: ExchangeFinder, Exchange, and Transmitter. The commit message states that this is the last big refactoring, implying that the objective is to complete a significant restructuring of the codebase."
https://api.github.com/repos/square/okhttp/commits/e36d7ecc26be18021da3555fc8b14381df7af34d,Describe Issue,"The commit message directly elaborates the motivation of a code change by describing the issue of flakiness in the CallTest.cancelTagImmediatelyAfterEnqueue() method. The issue is that there's a race where the HTTP engine has been created but not yet connected, causing the cancel not to be as immediate as it could be. The commit message describes the error scenario and the shortcoming of the previous implementation, making it necessary to fix the test by making sure there's a response to be retrieved."
https://api.github.com/repos/spring-projects/spring-boot/commits/8a0f0354dfed2fc6d4cb1b046ec03fe5b7ff1146,Describe Issue,The commit message directly elaborates the motivation of the code change by describing the issue with Log4J2's shutdown hook causing a race condition and logging loss when the JVM is exiting. It also mentions that this change aligns the Log4J2 logging system with the logging.register-shutdown-hook property which defaults to false. This clearly falls under the 'Describe Issue' category.
https://api.github.com/repos/square/retrofit/commits/54c8e17ad51bd35e75009233c3be6cdc3afe310e,Describe Issue,The commit message refers to the need to update the documentation for handling of @field and @part values. This is likely due to a change in the implementation or a new feature that requires updated documentation to clarify how to use these values correctly.
https://api.github.com/repos/junit-team/junit4/commits/16a2b51b9d9425cd7dacad85e2df97985996ca8d,Describe Issue,The commit message refers to a specific issue (doclint issues causing the site goal to fail) and describes the motivation for the code change (to disable parts of doclint for the site's javadoc).
https://api.github.com/repos/square/okhttp/commits/5569a0d20f4669ddde8227d8777de54ddf373181,Describe Issue,"The commit message refers to the presence of an obsolete '@JvmField' annotation, which is no longer necessary because the 'Dispatcher.java' file has been converted to Kotlin. This change is made to address the issue of having unnecessary code in the project, which can potentially cause confusion and maintenance difficulties."
https://api.github.com/repos/square/retrofit/commits/26d19ea8877696a253be8c00b2baed6b359baaa2,Ilustrate Requirement,The commit message refers to a change in the required Java version due to a dependency (Retrofit) that has been updated in a prior commit. This change is necessary to meet the requirements of the updated dependency.
https://api.github.com/repos/square/okhttp/commits/4ab6a8258b0df3a3528029f810e1f48952dba2d7,Describe Issue,"The commit message refers to the removal of the old SSL protocol method, which is likely due to the deprecation of the method in newer versions of the library. This change is made to address the issue of using an outdated method, which could potentially cause compatibility problems or security vulnerabilities."
https://api.github.com/repos/square/okhttp/commits/18b2660873ed8f028ee72981c882ed676aa08030,Describe Objective,"The commit message directly mentions the objective of the code change, which is to normalize certificate chains to get the root CA certificate into the chain so that it can be considered by the certificate pinner."
https://api.github.com/repos/spring-projects/spring-boot/commits/205fa2507b019f5e1348f6bc554fdd18691152ba,Describe Issue,"The commit message directly elaborates the motivation of the code change by mentioning that the maven-eclipse-plugin has been retired, which is an issue that needs to be addressed."
https://api.github.com/repos/square/okhttp/commits/cf63fcc48ae3e1dc3fb32120ca2fb04877fa041e,Describe Issue,"The commit message explicitly mentions that the 'okhttp-protocols' module no longer exists, which is the issue that necessitates the removal of the 'fat' jar creation. This falls under the 'Describe Issue' category."
https://api.github.com/repos/junit-team/junit4/commits/5eee07b3e21f196b8cb937fb88eb8cf4be694f76,Describe Issue,"The commit message directly elaborates the motivation of the code change by describing the issue with the previous implementation. It mentions that applying a filter to a nested suite would create redundant nested filters, which is the problem the commit aims to solve."
https://api.github.com/repos/square/retrofit/commits/b6748ac88759a4768c1003930bb5c921ac49d8d1,Describe Objective,"The commit message explicitly mentions the objective of the change, which is to mark GSON as provided since it is jarjar'ed in. This is done to ensure that the correct version of GSON is used during runtime, which is an improvement to the code."
https://api.github.com/repos/junit-team/junit4/commits/24dfdd762e753c83babca3768d4b508cf5c6a86c,Describe Issue,"The commit message refers to the issue of a dead link in the documentation. The documentation to the ant junit task has been moved to another location, which is causing the link to be dead. The commit fixes this issue by updating the link to the new location."
https://api.github.com/repos/square/okhttp/commits/50999cceb5f5bcdaf79baa5ac7eeef90c72bda8d,Describe Objective,The commit message directly mentions the change made to the code: moving the package out of the libcore to promote the code into AOSP and doing the jarjar in Android instead. This change is made to improve the code structure and compatibility with AOSP.
https://api.github.com/repos/square/okhttp/commits/5ba145aa6c737878281c3fc655657002320b71c0,Describe Objective,"The commit message directly mentions the defects it fixes, which is limiting per-connection retries but not per-call retries, causing large numbers of connections each of which called the server and accepted yet another REFUSED_STREAM. The commit aims to fix this issue by failing sooner with a StreamResetException."
https://api.github.com/repos/apache/dubbo/commits/5caa422add46efa9b6de8c0e763e1ccecbcbfacd,Describe Issue,"The commit message mentions modifying comments and imports, which suggests that the changes were made to improve the readability and maintainability of the code. The diff shows that the changes were made to the logger messages, which suggests that the motivation for the change was to provide more clarity about the purpose of the zookeeper client and its connection process. Specifically, the changes describe the scenario where a valid zookeeper client is found in the cache, and the scenario where a new client is created if no valid client is found in the cache. This suggests that the motivation for the change was to improve the efficiency and reliability of the zookeeper client connection process."
https://api.github.com/repos/square/retrofit/commits/745e29b7832c3cc37e7b6d395aded79a908c3bbc,Describe Issue,"The commit message refers to the deprecated error identifier as a 'tech debt' that needs to be removed before major refactorings. This implies that the deprecated error identifier is causing issues or problems, which is the essence of the 'Describe Issue' category."
https://api.github.com/repos/spring-projects/spring-boot/commits/5afe4743cbf4ff69ffe4bbcefa4508b1a4ac6f4b,Describe Objective,"The commit message directly mentions the objective of the change, which is to remove deprecated configuration properties. This is done to improve the code and make it more up-to-date."
https://api.github.com/repos/spring-projects/spring-boot/commits/24e873cd7c2608e642fd6e90460bc98079ba4e27,Describe Issue,"The commit message explains the motivation for the change by mentioning the issue that the IDE plugin supports both the `.eclipse` and `eclipse` directories. This implies that the previous location of the `eclipse.properties` file was causing some inconsistency or issue, which is the reason for the move."
https://api.github.com/repos/square/okhttp/commits/0e0f3a2d8d95278bf362eaeb08f13516e383fafd,Ilustrate Requirement,"The commit message explains that OkHttp 3.14.x is no longer supported and that it is important to upgrade to OkHttp 4.x because it is the only branch receiving security fixes, bug fixes, and new features. This shows that the change is necessary to meet the requirements of software maintenance and to ensure the security and functionality of the software."
https://api.github.com/repos/square/retrofit/commits/246bef5bf34c0598a91038b2e15bace7718408d4,Describe Issue,"The commit message refers to the removal of outdated ProGuard options. This is done to address the issue that as of API 26, the android.jar contains the classes checked by Platform and used by Platform.Java8. Additionally, the message mentions that throwing checked exceptions from the service method is no longer encouraged, instead suggesting routing them through the call adapter."
https://api.github.com/repos/square/retrofit/commits/2e15cf9e75e4204aa492ecc1cbe53053f95a2a8f,Describe Issue,"The commit message explains that the Android logging is being promoted to a separate class which knows about chunking. This is done to remove the concept of chunking from the calling code. This change is made because chunking is an Android-specific implementation detail which is now only performed when needed, which is a clear issue that the commit message is addressing."
https://api.github.com/repos/square/retrofit/commits/9d683b75b111e60d30da8a03335d2ce71f5e8585,Describe Issue,"The commit message explains the issue that the code change is addressing: the current forced suspension mechanism using yield can lead to UndeclaredThrowableExceptions in certain situations, especially when using certain dispatchers that completely avoid yielding. The commit message then describes the solution: migrating the forced suspension mechanism from yield to Dispatcher.Default to avoid this issue."
https://api.github.com/repos/spring-projects/spring-boot/commits/ae3225e76e6f5e7d7680bfd9b5cca9da13a6efbc,Ilustrate Requirement,"The commit message explains that Lettuce requires commons-pool2 for its auto-configuration. This is a requirement that the project needs to meet in order to use Lettuce instead of Jedis. Therefore, it falls under the 'Ilustrate Requirement' category."
https://api.github.com/repos/junit-team/junit4/commits/1360f9b696f2fb1bc32b16b070ffb3363a88864f,Ilustrate Requirement,"The commit message explicitly mentions the need to keep the Maven GPG plugin up-to-date. This is a common requirement in software maintenance to ensure the use of the latest stable version of a plugin to take advantage of new features, bug fixes, and security updates."
https://api.github.com/repos/square/okhttp/commits/16f1d048165d2bf0aee4833ff7d8b415f537ce64,Describe Issue,"The commit message refers to a change in the API, which is causing an issue in the example. The diff shows that the URL object type is being changed to fix this issue."
https://api.github.com/repos/square/okhttp/commits/32a2b1d8d000a19d4a340cc1d77a68973a9d65dc,Describe Issue,"The commit message describes the issues with the existing java.io and java.nio interfaces, such as no timeouts, frequent byte copying, and clumsy features. This highlights the necessity for a new I/O interface that addresses these issues."
https://api.github.com/repos/junit-team/junit4/commits/d2b75f93d21d2584efab1129aacd1f3020c37fca,Ilustrate Requirement,"The commit message describes the need for using Maven Wrapper to make the build independent from the Maven version installed on the build machine. This is done to support Java 6, which is no longer supported by the newer Maven version installed on the build machine (Travis has Maven 3.5.6 installed). The specific Maven version used (3.1.1) is chosen because it is the oldest version that still supports Java 1.5."
https://api.github.com/repos/spring-projects/spring-boot/commits/893654bdd1d71fdf42b21d8ca16c4c18faf6a3ea,Describe Requirement,"The commit message refers to the need to update the documentation to include support for new HealthIndicator. This is likely due to the addition of new features in the software, such as support for Redis and MongoDB, which necessitates updating the documentation to reflect these changes."
