api_url,why_category,why_category_expl
https://api.github.com/repos/junit-team/junit4/commits/3171c4b29cb207e71fc2f752f0fbcb235bc8e784,Ilustrate Requirement,"The commit message explains the necessity of changing the license from CPL to EPL due to the fact that CPL is actively hurting JUnit adaptation in certain cases, while EPL would have been fine. This shows that the change is made to meet a specific requirement or problem."
https://api.github.com/repos/spring-projects/spring-boot/commits/6c8f8c9d827a5340f9e6493c14d8c252d1f0d52a,Describe Issue,"The commit message directly elaborates the motivation of the code change by describing the issue scenario: when a custom management.port is used and the child context is configured with an EmbeddedServletContainerFactory bean that has the same class as the parent context’s EmbeddedServletContainerFactory bean, it causes a failure when the custom EmbeddedServletContainerFactory subclass cannot be instantiated. The commit improves the diagnostics to fail fast with an information exception message when this issue is detected."
https://api.github.com/repos/spring-projects/spring-boot/commits/6dc14af92dbfa7b5281072d9fdde241ce0da3679,Describe Issue,The commit message describes the issue of a stale view of a bean's type in the BeanTypeRegistry when a bean is overridden and its definition changes. This leads to incorrect bean condition evaluation. The commit message explains why the change is necessary to fix this issue.
https://api.github.com/repos/square/okhttp/commits/868ee844458eda9ee7b1b6f9a5238b7c3f84c0e4,Describe Issue,"The commit message directly elaborates the motivation of the code change by mentioning the issue of dropping a DSS cipher suite. It refers to the issue report of Chrome and Firefox also dropping this cipher suite, which is the reason for the change. This falls under the 'Describe Issue' category."
https://api.github.com/repos/spring-projects/spring-boot/commits/e233ea7f546fcbc5fccf972bc70c26373103444c,Describe Issue,"The commit message directly elaborates the motivation of the code change by describing the issue scenario: Undertow 1.3.2 changed the default access log file suffix from '.log' to just 'log', which caused a problem in the current implementation. The commit then fixes this issue by adapting the file name pattern to include the missing dot."
https://api.github.com/repos/spring-projects/spring-boot/commits/247c596f8ceb657800e86d0ca59d4816aa67026b,Describe Issue,"The commit message refers to a duplicate console appender in the Actuator sample's logback config, which is an issue scenario that necessitates a code change."
https://api.github.com/repos/junit-team/junit4/commits/591fcae09c6470a03ade7d608773f8f633409bc2,Describe Objective,"The commit message directly mentions the improvements it makes to the code. It adds more Javadoc to the Assert class for messages and when they are displayed, and it puts the version tag back into the Version class. This shows that the commit was made to enhance the clarity and functionality of the code."
https://api.github.com/repos/junit-team/junit4/commits/870289f3272917f312de6902b8b6bdc43552d4b7,Describe Issue,"The commit message 'Simplify Filter implementation for backward compatibility' suggests that the change was made to address an issue with the previous implementation. Specifically, the change removes the need for a separate method to filter out ignored tests, which simplifies the code and ensures backward compatibility."
https://api.github.com/repos/square/retrofit/commits/c0cc4cb5bbf688a11dda5531f009300b20005e61,Describe Issue,"The commit message refers to an 'important Android fix' in RxJava 1.0.14. This indicates that there was a known issue in the previous version that has been addressed in the new version. Therefore, the commit is made to resolve this issue, which falls under the 'Describe Issue' category."
https://api.github.com/repos/apache/dubbo/commits/e8d85386bc7869d3a6e5b27c12ec7784c74bc2d6,Describe Issue,"The commit message mentions 'Format code', which implies that the code change is being made to improve readability and maintainability. The diff shows changes to variable declarations, adding 'final' modifiers to make them immutable and 'static' to make them class-level constants. This can be seen as fixing an issue with the previous implementation, as it improves code quality and adheres to best practices."
https://api.github.com/repos/square/okhttp/commits/6cf56de5d0701ff26aa6043c552e17c4665c1287,Describe Issue,"The commit message directly elaborates the motivation of the code change by describing the issue scenario. It mentions that the change is required to handle a specific Android scenario where an older version of OkHttp bundled with an application might pick up the newer HttpResponseCache via ResponseCache.getDefault(). This could lead to an UnsupportedOperationException being thrown. The commit message explains that the previous fix to HttpResponseCache re-introduced get()/put() but didn't implement the necessary instanceof checks, which caused the issue. The message also mentions that the change is necessary to maintain compatibility with other implementations of HttpURLConnection and to follow the letter of the Java API."
https://api.github.com/repos/square/okhttp/commits/137e7de0454f10160370f105ac7d9d2fc5403c84,Describe Objective,The commit message directly mentions the improvements it makes to the code by renaming a method and adding a new API. This change is made to better align the terminology used with the conventions of cryptography.
https://api.github.com/repos/spring-projects/spring-boot/commits/4d172ca7429bfc15692ce7f1247beeb355faa924,Describe Issue,"The commit message describes the issue of duplicate resources in the classpath, which can cause logback to worry about double configuration. The code diff also supports this by removing the duplicate resources from the target directory."
https://api.github.com/repos/spring-projects/spring-boot/commits/b39ecdf0060189367e396f0dcc455760006f2659,Describe Issue,The commit message directly elaborates the motivation of the code change by describing the issue with the previous implementation. It mentions that 'preferred-mapper' property is being renamed to 'preferred-json-mapper' to make it clear that it only affects the JSON mapper and not the XML mapper. This is done to address the confusion caused by the previous name of the property.
https://api.github.com/repos/square/retrofit/commits/ebc0128add0d416a846ff661888910d16751dd34,Describe Requirement,"The commit message refers to the need to discourage the use of Java 8 due to the built-in support for CompletableFuture and Optional in Retrofit. This is a change made to meet the requirements of the software development process, specifically to update the codebase to work with newer versions of Java."
https://api.github.com/repos/spring-projects/spring-boot/commits/f8a53cf775b03c9258b42be194e05e0ee1779f35,Describe Issue,The commit message refers to an issue (the new role-based method) that necessitates an update to the documentation. This falls under the 'Describe Issue' category as it directly elaborates the motivation for the code change.
https://api.github.com/repos/junit-team/junit4/commits/fa35d6d84a0b2c59254cb479633d0e20bc6e12e9,Ilustrate Requirement,"The commit message explains the reason for the change, which is the transition from CVS to Git. This is a significant change in the development environment, which is the source of the requirement mentioned in this category."
https://api.github.com/repos/spring-projects/spring-boot/commits/ee4205a0498440f3003ace8c5ccf36cbe74eab00,Describe Issue,"The commit message refers to the unnecessary logging by the start-docker script, which is an issue that needs to be addressed. The code diff shows that the logging behavior is being changed, which is a direct code change motivated by the issue of unnecessary logging."
https://api.github.com/repos/apache/dubbo/commits/9897aa3d7273e3eb96910cfdc09709a77cae50b0,Describe Issue,"The commit message explicitly mentions the issue of the cache not working properly when a service/reference is registered more than one time without an explicit id. This directly elaborates the motivation of the code change, which is to fix a specific problem or error scenario."
https://api.github.com/repos/junit-team/junit4/commits/2b6fa701e84625c511b03079296774cc0904ef1a,Describe Issue,"The commit message directly elaborates the motivation of the code change by describing the issue scenario: 'Bug: ParentRunner lost test Class from a separate class loader'. This issue is explained in detail, including the error scenario and the problem it causes."
https://api.github.com/repos/square/okhttp/commits/0685dfaa7ff71a8f16b1b71f417b08eff13ec55f,Describe Requirement,The commit message explains the requirement of software development for the need to connect to TLSv1.0 or TLSv1.1 servers due to the deprecation of these versions by some browsers. This is a necessary change to stay secure and up-to-date with the evolving TLS ecosystem.
https://api.github.com/repos/square/retrofit/commits/2d6b02f7cf59235358ef4d574930ce7545ce8619,Describe Issue,"The commit message refers to the issue of updating RxJava from version 1.0.0-rc.4 to version 1.0.0. This could be due to a bug or a shortcoming in the previous version, which the commit message does not elaborate on. Therefore, the most suitable category is 'Describe Issue'."
https://api.github.com/repos/square/okhttp/commits/6651a9c15e06e8d1829aa00f970998be2f33b225,Describe Issue,"The commit message describes the issue of the current implementation throwing unchecked exceptions on unexpected charsets, which can cause a misbehaving webserver to crash the client. The commit aims to change this failure mode to not crash on charset problems."
https://api.github.com/repos/spring-projects/spring-boot/commits/3d27391d47910f73c1e889b76030a53038a38f25,Describe Issue,"The commit message refers to the issue of incompatibility with JDK 15 due to the introduction of isEmpty() on CharSequence. This is a clear description of the problem scenario, making it necessary to change the code."
https://api.github.com/repos/square/okhttp/commits/c6c7ce7dadf2ccaa04122f57a278a4a96d1f5c50,Describe Issue,"The commit message directly elaborates the motivation of the code change by describing the bug it fixes. The bug is that when using DiskLruCache, the hasNext() method of Iterator<Snapshot> returned by snapshot() method can iterate through lruEntries, and if an entry is not completed yet, it is removed, causing the file not to be cached at all. The commit message provides a clear explanation of this issue and how it was fixed."
